virus_unid	human_unid	label	pred_score
YP_004346932.1	A0A0B4J2D5	0.0	0.000124
YP_010113301.1	A0A0B4J2D5	0.0	3.9e-05
AAT70775.1	A0A0B4J2D5	0.0	0.000174
YP_009054991.1	A0A0B4J2D5	0.0	0.000977
YP_009508867.1	A0A0B4J2D5	0.0	0.000475
AFD21902.1	A0A0B4J2D5	0.0	0.478661
YP_010113362.1	A0A0B4J2D5	0.0	7e-05
YP_001034005.1	A0A0B4J2D5	0.0	0.000241
AFD22097.1	A0A0B4J2D5	0.0	0.009225
CAP08136.1	A0A0B4J2D5	0.0	0.001307
NP_570300.1	A0A0B4J2D5	0.0	0.000589
YP_009130672.1	A0A0B4J2D5	0.0	3.8e-05
YP_009054989.1	A0A0B4J2D5	0.0	0.001773
YP_068351.1	A0A0B4J2D5	0.0	0.00257
YP_009344847.1	A0A0B4J2D5	0.0	0.000106
BAA82894.1	A0A0B4J2D5	0.0	0.000402
NP_066833.1	A0A0B4J2D5	0.0	7.5e-05
YP_003778196.1	A0A0B4J2D5	0.0	8.4e-05
YP_005296363.1	A0A0B4J2D5	0.0	0.001538
AEV55038.1	A0A0B4J2D5	0.0	0.000244
YP_338082.1	A0A0B4J2D5	0.0	0.000919
YP_009448206.1	A0A0B4J2D5	0.0	0.487355
NP_066910.1	A0A0B4J2D5	0.0	0.000235
NP_777374.1	A0A0B4J2D5	0.0	0.000146
YP_009703063.1	A0A0B4J2D5	0.0	0.001807
YP_009252250.1	A0A0B4J2D5	0.0	0.000816
AP_000638.1	A0A0B4J2D5	0.0	0.004551
YP_010097647.1	A0A0B4J2D5	0.0	0.004331
YP_008145315.1	A0A0B4J2D5	0.0	0.000236
YP_009109615.1	A0A0B4J2D5	0.0	0.000602
CAP08084.1	A0A0B4J2D5	0.0	0.000222
YP_182402.1	A0A0B4J2D5	0.0	0.00098
YP_001033950.1	A0A0B4J2D5	0.0	0.000263
YP_009505576.1	A0A0B4J2D5	0.0	6.7e-05
YP_068259.1	A0A0B4J2D5	0.0	0.00012
YP_182352.1	A0A0B4J2D5	0.0	0.004881
YP_182396.2	A0A0B4J2D5	0.0	0.000145
NP_015555.1	A0A0B4J2D5	0.0	0.000764
AFD22019.1	A0A0B4J2D5	0.0	0.000153
YP_010113363.1	A0A0B4J2D5	0.0	4.4e-05
YP_009252262.1	A0A0B4J2D5	0.0	0.00032
YP_214132.1	A0A0B4J2D5	0.0	0.001077
YP_004346942.1	A0A0B4J2D5	0.0	0.004737
NP_570198.1	A0A0B4J2D5	0.0	0.000233
CAP08171.1	Q86VY9	0.0	0.007636
NP_570162.1	Q8NC01	0.0	0.00024
NP_570752.1	Q7Z6M1	0.0	0.000209
YP_214059.1	Q99972	0.0	0.246743
YP_010113268.1	A0A0B4J2D5	0.0	0.000133
YP_009703182.1	Q9P0P0	0.0	0.022362
YP_182370.1	O95340	0.0	0.000682
NP_570287.1	Q8N2H3	0.0	0.000107
YP_010097628.1	Q6ZNQ3	0.0	4.1e-05
AFD21954.1	Q9BRN9	0.0	0.015141
YP_009508837.1	Q96RU8	0.0	0.000531
NP_066828.1	Q9Y4E5	0.0	0.010712
AEV55017.1	Q9H4I3	0.0	0.037351
YP_009130677.1	Q567V2	0.0	1.9e-05
YP_182384.1	Q8IYN2	0.0	0.002416
YP_214050.1	P46695	0.0	0.019841
YP_068345.1	P21506	0.0	0.002422
YP_010097108.1	Q8TAW3	0.0	0.00015
YP_008493006.1	Q8NB12	0.0	0.032529
YP_008492991.1	Q70HW3	0.0	0.000135
YP_005296322.1	P49746	0.0	0.098718
CAP08162.1	Q96M02	0.0	0.002025
YP_009825001.1	P13224	0.0	0.007995
YP_068298.1	Q9UK39	0.0	0.000372
YP_009337832.1	Q96JM4	0.0	0.005931
YP_008145318.1	Q8IXZ3	0.0	0.000351
YP_009130676.1	Q86XN8	0.0	0.001313
YP_009703216.1	Q969M2	0.0	3.5e-05
YP_009703126.1	P49901	0.0	0.00421
NP_570309.1	Q9BU76	0.0	0.45367
YP_068321.1	P45954	0.0	0.002828
AAD21338.1	P01732	0.0	0.042233
YP_009252348.1	Q92765	0.0	0.00012
YP_068277.1	Q6DN90	0.0	0.036965
NP_108653.1	Q9BZJ6	0.0	0.000274
YP_005296245.1	O95393	0.0	0.008214
YP_182408.1	Q13490	0.0	0.874051
YP_004152334.1	Q13490	0.0	0.768109
YP_009703165.1	Q6P3S6	0.0	0.000225
BAA82943.1	Q9H9F9	0.0	0.052072
YP_009252349.1	P39880	0.0	0.04947
YP_004346953.1	Q9BZW7	0.0	0.195343
YP_009508839.1	Q96LD8	0.0	0.001368
YP_182366.1	Q99811	0.0	0.0022
YP_209234.1	Q9HCU8	0.0	0.000286
NP_570303.1	Q96AX1	0.0	0.020999
YP_009344932.1	P20774	0.0	0.001644
YP_214145.1	A1A4G5	0.0	0.000384
YP_009553208.1	O95163	0.0	0.095907
CAZ86711.1	P47898	0.0	6.5e-05
YP_009703135.1	P09211	0.0	0.264714
AEV55062.1	Q9UK53	0.0	0.195323
YP_068196.1	Q9NSN8	0.0	0.001151
CAP08178.1	O95352	0.0	0.75068
AAD21339.1	O77932	0.0	0.00755
YP_009703141.1	Q6ZVM7	0.0	0.001512
YP_001285932.1	O94761	0.0	0.028331
YP_009703150.1	Q8N0T1	0.0	0.000428
CAP08148.1	Q6P9B9	0.0	0.030908
YP_009094036.1	Q9Y5U8	0.0	0.00011
NP_595041.1	Q8TC17	0.0	0.0003
YP_009010979.1	Q96LD8	0.0	0.002053
YP_006390081.1	Q6XE38	0.0	0.001463
BAA82917.1	Q5TZJ5	0.0	0.001485
YP_214076.1	Q9P2D0	0.0	0.000708
YP_001033976.1	Q9UBC3	0.0	0.09051
NP_066830.1	Q9UBM8	0.0	0.012504
YP_009252354.1	O95926	0.0	0.053367
YP_009508492.1	Q99608	0.0	0.935123
YP_009667036.1	P24821	0.0	0.000755
YP_214038.1	P23760	0.0	0.007201
YP_010097624.1	P55789	0.0	0.000925
AFV77573.1	Q9UBY5	0.0	0.00017
YP_008145314.1	O15254	0.0	0.138827
YP_009703122.1	Q8WWQ0	0.0	0.000593
AAC64687.1	Q8NE63	0.0	0.001444
YP_010113272.1	Q9UKA8	0.0	0.002703
CAP08117.1	Q8NEV4	0.0	0.003041
YP_006331066.1	P05014	0.0	0.000366
NP_044212.1	Q99748	0.0	0.000267
YP_009252270.1	P19099	0.0	5.7e-05
YP_009344867.1	Q99643	0.0	0.002315
YP_214164.1	Q6S545	0.0	5.5e-05
YP_007974229.1	Q8WWC4	0.0	0.009869
AAD21408.1	P20815	0.0	0.006472
YP_010097085.1	Q96P71	0.0	7.1e-05
YP_009094043.1	O95625	0.0	0.553199
NP_570822.1	P01574	0.0	0.063489
YP_068126.1	Q9UG56	0.0	0.000564
CAZ86702.1	P37288	0.0	9.2e-05
YP_010113366.1	Q13887	0.0	0.931526
AEV55065.1	P24298	0.0	0.00337
CAP08123.1	Q8NHG7	0.0	0.004821
YP_009252241.1	O95154	0.0	0.002537
YP_010097659.1	Q9P243	0.0	2.1e-05
YP_010097074.1	P11086	0.0	0.000194
YP_009408614.1	Q5TGL8	0.0	0.000721
YP_010113390.1	Q5SQ80	0.0	0.000428
YP_003896055.1	O95169	0.0	0.002912
YP_067942.1	Q5SR56	0.0	0.674379
CAP08168.1	Q9NRS4	0.0	0.003889
YP_009252352.1	B9A064	0.0	0.067268
YP_004346944.1	A8MZ36	0.0	0.000297
YP_009552100.1	P09912	0.0	0.000253
YP_009703160.1	Q7Z4J2	0.0	5.6e-05
YP_009344837.1	P13725	0.0	0.001469
YP_005296347.1	P48552	0.0	0.017907
YP_009344828.1	Q92959	0.0	0.000121
CAP08071.1	P35626	0.0	0.000256
YP_010113259.1	Q9UHI8	0.0	0.020897
NP_570821.1	Q5TF58	0.0	0.022464
AEV55037.1	A0A0A6YYL3	0.0	5.5e-05
YP_010097093.1	O00300	0.0	0.000205
YP_009703137.1	P13688	0.0	0.004004
AAD21353.1	P28907	0.0	0.000962
YP_004123757.1	O15484	0.0	0.00077
YP_010113273.1	O95393	0.0	0.002113
YP_009030025.1	P15173	0.0	0.012529
YP_009551990.1	O95340	0.0	0.000674
AEV54979.1	P19544	0.0	0.017461
CAP08115.1	Q8WW27	0.0	0.000984
YP_004346948.1	P26436	0.0	0.000163
YP_182400.1	Q8N895	0.0	0.001559
NP_058428.1	Q8N1A6	0.0	0.002195
YP_214077.1	Q8IV63	0.0	0.012393
YP_068266.1	Q9HCN3	0.0	0.001357
YP_009344950.1	Q5JTY5	0.0	0.040476
AFD21933.1	P49770	0.0	0.757853
ACA24943.1	Q16890	0.0	0.006884
YP_010097674.1	P23276	0.0	0.001428
YP_009344912.1	P58166	0.0	0.019243
YP_010113332.1	Q9NRV9	0.0	0.00972
YP_010113401.1	Q6ZMY9	0.0	0.001495
CAP08161.1	O00160	0.0	0.002729
YP_214037.1	Q15761	0.0	8.4e-05
AFD21999.1	P52952	0.0	0.014192
YP_009553675.1	P02741	0.0	0.791816
NP_570767.1	Q9UBM8	0.0	0.032276
YP_005296370.1	Q8TE85	0.0	0.004083
NP_570231.1	Q9BZW7	0.0	0.734123
YP_068353.1	Q8TBF4	0.0	0.361408
AAD21404.1	P98073	0.0	0.004574
NP_570237.1	A6NHZ5	0.0	8e-05
NP_015532.1	O75165	0.0	0.006777
YP_214035.1	Q8N653	0.0	0.243771
YP_001034008.1	P49590	0.0	0.666409
AAT95219.1	O00193	0.0	0.000754
YP_009703068.1	Q8TE82	0.0	0.000103
AEP82753.1	Q8TE77	0.0	0.010024
YP_214135.1	Q8WTS6	0.0	0.004963
YP_010097098.1	P0C7M4	0.0	4.2e-05
YP_008720072.1	O75600	0.0	0.185836
BAA82892.1	Q8TCD1	0.0	6e-05
YP_009054987.1	Q9Y4E5	0.0	0.045676
YP_009667151.1	Q9H790	0.0	0.000166
AAD21345.1	P32320	0.0	0.344813
CAP08163.1	Q9BZJ8	0.0	0.015044
NP_570786.1	Q96FV0	0.0	0.015297
AP_000255.1	A7E2V4	0.0	0.001545
YP_010113372.1	Q70JA7	0.0	0.001217
YP_008145322.1	Q8N0X2	0.0	4.6e-05
YP_009552120.1	Q9NXL6	0.0	0.000229
YP_009109585.1	Q9NP59	0.0	3.4e-05
NP_570813.1	P25098	0.0	0.005539
YP_004346910.1	P22888	0.0	0.000225
YP_009252287.1	Q9NRH3	0.0	0.023829
YP_182398.1	Q8N5Y2	0.0	0.009333
YP_009344880.1	P56693	0.0	0.420421
YP_009252260.1	Q8N755	0.0	0.000567
YP_001034004.1	O60260	0.0	0.998451
YP_004123758.1	A6NK89	0.0	0.034087
AEV55028.1	P25103	0.0	0.002325
YP_214124.1	Q9H974	0.0	0.005504
YP_173325.1	Q06265	0.0	0.045921
YP_068377.2	Q6UXI7	0.0	0.001228
CAP08153.1	Q9P243	0.0	8.6e-05
AFD22083.1	P35913	0.0	0.000715
YP_009508803.1	Q96A56	0.0	0.000392
YP_004956723.1	O00300	0.0	0.000145
YP_001033929.1	Q9UK53	0.0	0.013087
YP_005296349.1	Q499Z4	0.0	0.001693
YP_009508840.1	Q15526	0.0	0.122512
ACN89732.1	Q6T311	0.0	7.5e-05
YP_010086828.1	Q7Z5L9	0.0	0.004793
YP_001331031.1	P55259	0.0	0.000733
YP_182388.1	Q8TCD1	0.0	0.000197
NP_570818.1	Q8IWP9	0.0	0.77387
CAP08210.1	P42357	0.0	0.333774
YP_008492983.1	Q86UX6	0.0	0.337118
YP_009337824.1	Q4UJ75	0.0	0.000493
NP_066853.2	Q9GZV3	0.0	0.000171
ABG89314.1	P04279	0.0	0.022843
YP_009199247.1	P49715	0.0	0.541486
CAP08097.1	Q9NPH0	0.0	0.000122
YP_008493004.1	Q8WVV4	0.0	0.915442
YP_001034014.1	Q9BZY9	0.0	0.000538
YP_214047.1	P22466	0.0	0.001369
YP_005296224.1	Q8TDZ2	0.0	0.011398
YP_009054993.1	Q6UVJ0	0.0	0.713012
YP_009703183.1	Q9P243	0.0	0.000341
NP_570753.1	Q96AC6	0.0	0.001355
YP_009380532.1	P11172	0.0	0.035716
AEV55026.1	Q16549	0.0	0.004124
YP_010097698.1	Q8N100	0.0	0.000202
YP_009703092.1	Q6P1M9	0.0	0.005289
YP_010113317.1	Q9NTJ4	0.0	0.000205
YP_214051.1	Q16204	0.0	0.334605
YP_009109620.1	Q96M94	0.0	0.032697
YP_010097683.1	Q6S545	0.0	2e-05
YP_009505573.1	P48436	0.0	0.048821
YP_005296204.1	Q9Y2Y6	0.0	0.029472
YP_004021924.1	P03952	0.0	0.00435
YP_182337.1	Q9NS18	0.0	0.000247
YP_214079.1	Q96NL6	0.0	0.964081
YP_010097068.1	Q13536	0.0	0.000308
YP_004346951.1	O60721	0.0	0.000736
YP_214116.1	Q9BRU9	0.0	0.182388
YP_068326.1	Q8TD16	0.0	0.199929
YP_008493003.1	O95625	0.0	0.096456
YP_008492955.1	Q8N653	0.0	0.100575
YP_008493019.1	Q5SVZ6	0.0	0.128669
YP_003896047.1	Q9NYQ3	0.0	0.000203
NP_066907.1	Q6XE38	0.0	0.001001
ACN89695.1	Q99747	0.0	0.011212
YP_009703066.1	P03979	0.0	0.048011
AER30023.1	P02724	0.0	0.929125
ACU27446.1	Q86YR6	0.0	5.9e-05
NP_066891.2	Q9BQY4	0.0	0.626183
YP_214086.1	P37275	0.0	0.018533
YP_009506306.1	Q5U3C3	0.0	0.000924
YP_009505552.1	P30046	0.0	0.000286
AEP04094.1	Q9Y228	0.0	0.062744
AEV55001.1	P50238	0.0	0.008993
CAP08114.1	Q15761	0.0	9.3e-05
YP_009344919.1	Q9UKN5	0.0	0.000288
YP_007974228.1	Q5T0T0	0.0	0.002522
YP_009344953.1	Q9Y6K8	0.0	0.000468
AP_000360.1	A8MWY0	0.0	0.000998
YP_005296331.1	Q9H9F9	0.0	0.000416
AP_000075.1	Q6P3S6	0.0	0.000267
NP_040834.1	Q86TD4	0.0	0.000523
YP_005296192.1	Q6P1M9	0.0	0.095447
YP_008492988.1	Q9BUT9	0.0	0.000736
YP_009408607.1	Q96JK2	0.0	0.107674
AFD97609.1	Q8N0S2	0.0	0.235945
YP_005296201.1	Q8N653	0.0	0.001038
YP_009344956.1	O95393	0.0	0.008651
AAD21372.1	Q9P0P0	0.0	0.34566
YP_182354.1	P49642	0.0	0.442144
ACN89715.1	Q96JM4	0.0	0.000759
YP_010113388.1	Q9H6K4	0.0	0.009529
YP_214033.1	P47898	0.0	8.4e-05
YP_068112.1	P28907	0.0	0.00055
YP_009679042.1	P09848	0.0	4.8e-05
YP_009703204.1	O60635	0.0	0.002293
NP_066879.1	A8MWY0	0.0	0.000349
YP_009252346.1	Q9Y3E7	0.0	0.014048
CAP08068.1	Q6PJ21	0.0	0.002355
YP_009196.1	A3KN83	0.0	0.083215
YP_008493015.1	Q9Y6K8	0.0	0.000886
YP_009703139.1	Q562E7	0.0	0.000577
YP_004346934.1	Q8IUF1	0.0	0.000224
YP_008492978.1	Q9H4I3	0.0	0.152077
YP_068156.1	Q9UBK9	0.0	0.326997
CAP08086.1	P39210	0.0	0.003188
YP_009344833.1	Q6ZU80	0.0	0.984223
YP_010097701.1	Q6ZU67	0.0	4.3e-05
NP_066889.1	P52952	0.0	0.005509
YP_007974230.1	O95926	0.0	0.040142
YP_009109623.1	Q567V2	0.0	0.000182
ACA24941.1	Q92959	0.0	0.08773
YP_009508838.1	P40238	0.0	0.000481
YP_008492969.1	Q5TZF3	0.0	0.00054
YP_005296199.1	P46695	0.0	0.010731
YP_173333.1	P48552	0.0	0.688179
ABG89315.1	Q9Y4F9	0.0	0.002531
YP_009344879.1	Q9NVM9	0.0	0.001804
YP_214142.1	Q9UNZ2	0.0	0.094707
YP_009344889.1	Q99811	0.0	0.000111
YP_009703196.1	A1A4G5	0.0	0.000732
YP_008145319.1	Q8WTT0	0.0	0.000719
YP_068099.1	Q8N488	0.0	0.658832
YP_004956721.1	Q92888	0.0	0.266198
YP_010097687.1	Q9NQ92	0.0	0.027842
YP_009344947.1	Q13349	0.0	0.005498
YP_004346916.1	Q6IQ22	0.0	0.000462
YP_010113410.1	O00300	0.0	0.00018
NP_570759.1	P01571	0.0	0.003262
AGK45267.1	Q86UB9	0.0	8.2e-05
YP_009703114.1	P13349	0.0	0.008296
YP_009337632.1	Q8IYM0	0.0	0.001873
YP_010113311.1	O75600	0.0	0.146226
YP_009344877.1	Q5TZF3	0.0	3.4e-05
AFD21967.1	Q00532	0.0	0.059097
YP_009703151.1	P43652	0.0	0.26545
YP_009140482.1	Q9Y238	0.0	0.000305
YP_068263.1	Q9UBC3	0.0	0.20469
YP_007974227.1	Q16610	0.0	0.016004
YP_009252276.1	Q7Z6L1	0.0	0.000197
CAP08111.1	P19883	0.0	0.005194
CAP08089.1	O76090	0.0	0.000479
YP_009344848.1	Q9NXL6	0.0	0.000359
YP_068174.1	Q9Y5U8	0.0	0.000791
AP_000361.1	Q8N309	0.0	0.000133
NP_015549.1	Q9HCU8	0.0	0.000418
YP_214098.1	Q60I27	0.0	0.000518
YP_009054985.1	Q8IXZ2	0.0	0.434679
YP_010113292.1	P05014	0.0	0.003531
YP_068255.1	Q9HCU8	0.0	0.000177
YP_005296216.1	Q5VUR7	0.0	0.000348
NP_047410.1	Q86TD4	0.0	0.000581
YP_214070.1	P41586	0.0	0.001411
YP_008136241.1	P47898	0.0	9.5e-05
YP_009252366.1	Q9Y238	0.0	0.000498
YP_214074.1	Q7Z6M1	0.0	8.1e-05
YP_005296341.1	Q8TC17	0.0	0.000328
CAP08070.1	Q13536	0.0	0.000377
YP_214054.1	O15539	0.0	0.001826
AGK45268.1	Q86VR8	0.0	0.000392
YP_008720075.1	Q8WZA0	0.0	0.081008
YP_009380530.1	P17568	0.0	0.10576
YP_214126.1	Q96KR4	0.0	0.041876
YP_009337833.1	Q16610	0.0	0.021895
YP_068264.1	Q9Y5R4	0.0	0.000219
YP_009199245.1	O43915	0.0	0.000642
YP_068247.1	Q15274	0.0	0.047487
YP_009337631.1	Q8NB12	0.0	0.012453
BAA82897.1	Q86WC4	0.0	0.003623
YP_182410.1	Q99732	0.0	0.030548
AEV54977.1	Q9BU02	0.0	0.000548
YP_214078.1	P19883	0.0	0.009547
YP_010113383.1	Q86WC4	0.0	0.013558
NP_015553.1	Q9NTJ4	0.0	0.000477
YP_010113382.1	Q00532	0.0	0.000324
CAP08116.1	Q9Y4F9	0.0	0.004334
CAP08093.1	P23759	0.0	0.666783
NP_570252.1	Q9NXL6	0.0	0.000172
AIK28876.1	Q8TER0	0.0	0.000466
YP_009130649.1	Q8WVN6	0.0	0.000527
YP_010113397.1	Q8WZA0	0.0	0.004
YP_009344916.1	Q12888	0.0	0.924304
AP_000358.1	P09211	0.0	0.02728
NP_066847.1	Q6S545	0.0	0.000204
AFD22129.1	Q96JM4	0.0	0.061333
YP_008492954.1	O43715	0.0	0.00873
YP_010113286.1	O15360	0.0	0.266411
AFD22032.1	Q96P71	0.0	0.001987
AEV55061.1	Q5JTW2	0.0	0.159816
AAD21407.1	Q99608	0.0	0.98729
YP_001033945.1	Q13887	0.0	0.942171
NP_598361.1	Q86TD4	0.0	0.001087
YP_009221.1	P25311	0.0	0.31273
CAP08203.1	P07359	0.0	0.001989
AAW02841.1	Q86WC4	0.0	0.124757
YP_010113288.1	Q7Z6L1	0.0	0.0001
YP_009344860.1	P01571	0.0	0.000126
NP_570186.1	Q8NCW0	0.0	0.000322
AAD21399.1	O43474	0.0	0.052125
BAA82911.1	Q9Y450	0.0	0.61726
YP_214125.1	Q9P243	0.0	0.001428
AEV54996.1	Q8TE82	0.0	0.000137
YP_005296335.1	O15354	0.0	0.002116
YP_214170.1	Q96DD0	0.0	0.000609
YP_068294.1	P83859	0.0	0.000639
AEV55085.1	Q8N895	0.0	0.000236
YP_009010980.1	P41225	0.0	0.000286
NP_058426.1	Q9NRH3	0.0	0.002763
YP_010113255.1	Q8TC84	0.0	0.000566
YP_009703071.1	Q9BZW7	0.0	0.031707
NP_694828.1	P30968	0.0	0.000116
YP_068171.1	O95424	0.0	0.004257
YP_005296220.1	Q6PJ21	0.0	0.005843
YP_068181.1	P15814	0.0	0.000162
AFD21870.1	Q9ULL8	0.0	0.019744
YP_214061.1	Q9H501	0.0	0.006275
AAW02833.1	P43652	0.0	0.002165
BAA82953.1	Q6PCB0	0.0	0.00068
YP_009703197.1	O60337	0.0	0.097426
YP_010097676.1	Q9NS91	0.0	0.026507
YP_009344898.1	Q8N488	0.0	0.920348
YP_001033926.1	P08684	0.0	0.000127
YP_008492974.1	Q6ZVM7	0.0	0.566887
YP_009513243.1	H3BUK9	0.0	0.000214
YP_009214.1	Q9H9T3	0.0	0.211258
YP_068283.1	Q8TER0	0.0	2.5e-05
YP_068098.1	Q9Y4E5	0.0	0.020568
YP_010097122.1	Q07092	0.0	0.000227
YP_068323.1	Q6ZNQ3	0.0	9.8e-05
YP_068202.1	Q8NFZ5	0.0	0.27806
NP_694829.3	Q16584	0.0	0.002971
YP_010097078.1	Q92636	0.0	0.00047
YP_010097637.1	P09211	0.0	0.238121
YP_214111.1	Q9Y2V3	0.0	0.000441
YP_068349.1	O95965	0.0	0.001304
YP_001033985.1	Q6T311	0.0	3.3e-05
YP_003587900.1	O95149	0.0	0.001736
YP_001033986.1	Q6XZF7	0.0	0.009013
YP_003896048.1	Q86UX6	0.0	0.053543
ACN89734.1	P22897	0.0	6.5e-05
YP_010097110.1	Q5VUB5	0.0	0.000142
CAP08181.1	Q08ET2	0.0	7.7e-05
CAP08080.1	P29475	0.0	0.125921
YP_005296361.1	Q7Z4Q2	0.0	0.001615
YP_009344925.1	Q92766	0.0	0.000339
YP_005296328.1	Q8WVM0	0.0	0.019081
ACN89764.1	Q9NR20	0.0	0.000263
ADE18856.1	O95169	0.0	0.096545
YP_009344868.1	A0A0B4J2D5	0.0	0.000381
YP_009252372.1	P30939	0.0	6.9e-05
YP_010113344.1	A8MZ36	0.0	0.000386
YP_009021877.1	Q96JP5	0.0	0.035267
AFD22064.1	Q9BRT8	0.0	0.96434
YP_005296278.1	Q96K30	0.0	0.002967
YP_004346932.1	Q6T4R5	0.0	0.004817
YP_010113301.1	Q9HCN3	0.0	4.2e-05
AAT70775.1	P19544	0.0	0.00456
YP_009054991.1	P01566	0.0	0.002152
YP_009508867.1	Q9BRQ6	0.0	0.034363
AFD21902.1	Q6T311	0.0	0.044727
YP_010113362.1	O60337	0.0	0.000825
YP_001034005.1	P80192	0.0	0.002142
AFD22097.1	P49638	0.0	0.29951
CAP08136.1	Q8IZ08	0.0	0.000717
NP_570300.1	P32881	0.0	0.02226
YP_009130672.1	Q9Y597	0.0	0.060503
YP_068351.1	P28221	0.0	0.00017
YP_009054989.1	Q5VTH9	0.0	0.001853
YP_009344847.1	Q9BTK6	0.0	0.00682
YP_003778196.1	Q9NZ56	0.0	0.000842
BAA82894.1	Q9UBD0	0.0	0.005066
NP_066833.1	Q13490	0.0	0.874716
YP_005296363.1	Q02535	0.0	0.002616
AEV55038.1	P21506	0.0	0.002492
YP_338082.1	O60635	0.0	0.004616
YP_009448206.1	P35790	0.0	0.02918
NP_066910.1	P47901	0.0	0.00085
NP_777374.1	P55789	0.0	0.005308
YP_009703063.1	P17735	0.0	0.000604
YP_009252250.1	Q8TER0	0.0	0.000143
AP_000638.1	Q8NBU5	0.0	0.00204
YP_010097647.1	Q24JP5	0.0	0.035703
YP_008145315.1	O43488	0.0	0.00502
CAP08084.1	Q8NDF8	0.0	0.173666
YP_009109615.1	H3BUK9	0.0	0.00045
YP_182402.1	Q9BU02	0.0	0.02125
YP_009505576.1	O15360	0.0	0.0195
YP_001033950.1	Q96GJ1	0.0	0.000662
YP_068259.1	Q9BUV8	0.0	0.021839
YP_182352.1	P20774	0.0	0.006912
YP_182396.2	Q56NI9	0.0	0.003692
NP_015555.1	Q9BZJ8	0.0	0.000934
AFD22019.1	Q9UBK5	0.0	0.49523
YP_010113363.1	O43474	0.0	0.026522
YP_009252262.1	Q5HYI7	0.0	0.155962
YP_214132.1	Q9Y6I4	0.0	0.008038
YP_004346942.1	P46695	0.0	0.002106
NP_570198.1	Q9Y2P8	0.0	0.03793
CAP08171.1	Q86VY9	0.0	0.007636
NP_570162.1	Q8NC01	0.0	0.00024
NP_570752.1	Q7Z6M1	0.0	0.000209
YP_214059.1	Q99972	0.0	0.246743
YP_010113268.1	A0A0B4J2D5	0.0	0.000133
YP_009703182.1	Q9P0P0	0.0	0.022362
YP_182370.1	O95340	0.0	0.000682
NP_570287.1	Q8N2H3	0.0	0.000107
YP_010097628.1	Q6ZNQ3	0.0	4.1e-05
AFD21954.1	Q9BRN9	0.0	0.015141
YP_009508837.1	Q96RU8	0.0	0.000531
NP_066828.1	Q9Y4E5	0.0	0.010712
AEV55017.1	Q9H4I3	0.0	0.037351
YP_009130677.1	Q567V2	0.0	1.9e-05
YP_182384.1	Q8IYN2	0.0	0.002416
YP_214050.1	P46695	0.0	0.019841
YP_068345.1	P21506	0.0	0.002422
YP_010097108.1	Q8TAW3	0.0	0.00015
YP_008493006.1	Q8NB12	0.0	0.032529
YP_008492991.1	Q70HW3	0.0	0.000135
YP_005296322.1	P49746	0.0	0.098718
CAP08162.1	Q96M02	0.0	0.002025
YP_009825001.1	P13224	0.0	0.007995
YP_068298.1	Q9UK39	0.0	0.000372
YP_009337832.1	Q96JM4	0.0	0.005931
YP_008145318.1	Q8IXZ3	0.0	0.000351
YP_009130676.1	Q86XN8	0.0	0.001313
YP_009703216.1	Q969M2	0.0	3.5e-05
YP_009703126.1	P49901	0.0	0.00421
NP_570309.1	Q9BU76	0.0	0.45367
YP_068321.1	P45954	0.0	0.002828
AAD21338.1	P01732	0.0	0.042233
YP_009252348.1	Q92765	0.0	0.00012
YP_068277.1	Q6DN90	0.0	0.036965
NP_108653.1	Q9BZJ6	0.0	0.000274
YP_005296245.1	O95393	0.0	0.008214
YP_182408.1	Q13490	0.0	0.874051
YP_004152334.1	Q13490	0.0	0.768109
YP_009703165.1	Q6P3S6	0.0	0.000225
BAA82943.1	Q9H9F9	0.0	0.052072
YP_009252349.1	P39880	0.0	0.04947
YP_004346953.1	Q9BZW7	0.0	0.195343
YP_009508839.1	Q96LD8	0.0	0.001368
YP_182366.1	Q99811	0.0	0.0022
YP_209234.1	Q9HCU8	0.0	0.000286
NP_570303.1	Q96AX1	0.0	0.020999
YP_009344932.1	P20774	0.0	0.001644
YP_214145.1	A1A4G5	0.0	0.000384
YP_009553208.1	O95163	0.0	0.095907
CAZ86711.1	P47898	0.0	6.5e-05
YP_009703135.1	P09211	0.0	0.264714
AEV55062.1	Q9UK53	0.0	0.195323
YP_068196.1	Q9NSN8	0.0	0.001151
CAP08178.1	O95352	0.0	0.75068
AAD21339.1	O77932	0.0	0.00755
YP_009703141.1	Q6ZVM7	0.0	0.001512
YP_001285932.1	O94761	0.0	0.028331
YP_009703150.1	Q8N0T1	0.0	0.000428
CAP08148.1	Q6P9B9	0.0	0.030908
YP_009094036.1	Q9Y5U8	0.0	0.00011
NP_595041.1	Q8TC17	0.0	0.0003
YP_009010979.1	Q96LD8	0.0	0.002053
YP_006390081.1	Q6XE38	0.0	0.001463
BAA82917.1	Q5TZJ5	0.0	0.001485
YP_214076.1	Q9P2D0	0.0	0.000708
YP_001033976.1	Q9UBC3	0.0	0.09051
NP_066830.1	Q9UBM8	0.0	0.012504
YP_009252354.1	O95926	0.0	0.053367
YP_009508492.1	Q99608	0.0	0.935123
YP_009667036.1	P24821	0.0	0.000755
YP_214038.1	P23760	0.0	0.007201
YP_010097624.1	P55789	0.0	0.000925
AFV77573.1	Q9UBY5	0.0	0.00017
YP_008145314.1	O15254	0.0	0.138827
