virus_unid	human_unid	group	label	human_cluster
AAD21338.1	P01732	gp_1	0.0	P01732
YP_009252348.1	Q92765	gp_1	0.0	Q92765
YP_068277.1	Q6DN90	gp_1	0.0	Q6DN90
NP_108653.1	Q9BZJ6	gp_1	0.0	Q9Y5Y3
YP_005296245.1	O95393	gp_1	0.0	O95393
YP_182408.1	Q13490	gp_1	0.0	Q13489
YP_004152334.1	Q13490	gp_1	0.0	Q13489
YP_009703165.1	Q6P3S6	gp_1	0.0	Q6P3S6
BAA82943.1	Q9H9F9	gp_1	0.0	Q9H9F9
YP_009252349.1	P39880	gp_1	0.0	P39880
YP_004346953.1	Q9BZW7	gp_1	0.0	Q9BZW7
YP_009508839.1	Q96LD8	gp_1	0.0	Q96LD8
YP_182366.1	Q99811	gp_1	0.0	P54821
YP_209234.1	Q9HCU8	gp_1	0.0	Q9HCU8
NP_570303.1	Q96AX1	gp_1	0.0	Q96AX1
YP_009344932.1	P20774	gp_1	0.0	P20774
YP_214145.1	A1A4G5	gp_1	0.0	A1A4G5
YP_009553208.1	O95163	gp_1	0.0	O95163
CAZ86711.1	P47898	gp_1	0.0	P47898
YP_009703135.1	P09211	gp_1	0.0	P09211
AEV55062.1	Q9UK53	gp_1	0.0	Q9UK53
YP_068196.1	Q9NSN8	gp_1	0.0	Q9NSN8
CAP08178.1	O95352	gp_1	0.0	O95352
AAD21339.1	O77932	gp_1	0.0	O77932
YP_009703141.1	Q6ZVM7	gp_1	0.0	O60784
YP_001285932.1	O94761	gp_1	0.0	O94761
YP_009703150.1	Q8N0T1	gp_1	0.0	Q8N0T1
CAP08148.1	Q6P9B9	gp_1	0.0	Q6P9B9
YP_009094036.1	Q9Y5U8	gp_1	0.0	Q9Y5U8
NP_595041.1	Q8TC17	gp_1	0.0	Q8TC17
YP_009010979.1	Q96LD8	gp_1	0.0	Q96LD8
YP_006390081.1	Q6XE38	gp_1	0.0	Q6XE38
BAA82917.1	Q5TZJ5	gp_1	0.0	Q5TZJ5
YP_214076.1	Q9P2D0	gp_1	0.0	Q9P2D0
YP_001033976.1	Q9UBC3	gp_1	0.0	Q9UBC3
NP_066830.1	Q9UBM8	gp_1	0.0	Q9UBM8
YP_009252354.1	O95926	gp_1	0.0	O95926
YP_009508492.1	Q99608	gp_1	0.0	Q99608
YP_009667036.1	P24821	gp_1	0.0	P24821
YP_214038.1	P23760	gp_1	0.0	P23760
YP_010097624.1	P55789	gp_1	0.0	P55789
AFV77573.1	Q9UBY5	gp_1	0.0	Q9UBY5
YP_008145314.1	O15254	gp_1	0.0	O15254
YP_009703122.1	Q8WWQ0	gp_1	0.0	Q8WWQ0
AAC64687.1	Q8NE63	gp_1	0.0	Q8NE63
YP_010113272.1	Q9UKA8	gp_1	0.0	Q9UKA8
CAP08117.1	Q8NEV4	gp_1	0.0	Q8NEV4
YP_006331066.1	P05014	gp_1	0.0	P01571
NP_044212.1	Q99748	gp_1	0.0	Q99748
YP_009252270.1	P19099	gp_1	0.0	P19099
YP_009344867.1	Q99643	gp_1	0.0	Q99643
YP_214164.1	Q6S545	gp_1	0.0	Q86YR6
YP_007974229.1	Q8WWC4	gp_1	0.0	Q8WWC4
AAD21408.1	P20815	gp_1	0.0	P20815
YP_010097085.1	Q96P71	gp_1	0.0	Q96P71
YP_009094043.1	O95625	gp_1	0.0	O95625
NP_570822.1	P01574	gp_1	0.0	P01574
YP_068126.1	Q9UG56	gp_1	0.0	Q9UG56
CAZ86702.1	P37288	gp_1	0.0	P30559
YP_010113366.1	Q13887	gp_1	0.0	Q13887
AEV55065.1	P24298	gp_1	0.0	P24298
CAP08123.1	Q8NHG7	gp_1	0.0	Q8NHG7
YP_009252241.1	O95154	gp_1	0.0	O95154
YP_010097659.1	Q9P243	gp_1	0.0	Q9P243
YP_010097074.1	P11086	gp_1	0.0	O95050
YP_009408614.1	Q5TGL8	gp_1	0.0	Q5TGL8
YP_010113390.1	Q5SQ80	gp_1	0.0	Q5SQ80
YP_003896055.1	O95169	gp_1	0.0	O95169
YP_067942.1	Q5SR56	gp_1	0.0	Q5SR56
CAP08168.1	Q9NRS4	gp_1	0.0	Q9NRS4
YP_009252352.1	B9A064	gp_1	0.0	P15814
YP_004346944.1	A8MZ36	gp_1	0.0	A8MZ36
YP_009552100.1	P09912	gp_1	0.0	P09912
YP_009703160.1	Q7Z4J2	gp_1	0.0	Q7Z4J2
YP_009344837.1	P13725	gp_1	0.0	P13725
YP_005296347.1	P48552	gp_1	0.0	P48552
YP_009344828.1	Q92959	gp_1	0.0	Q92959
CAP08071.1	P35626	gp_1	0.0	P35626
YP_010113259.1	Q9UHI8	gp_1	0.0	Q9UHI8
NP_570821.1	Q5TF58	gp_1	0.0	Q5TF58
AEV55037.1	A0A0A6YYL3	gp_1	0.0	Q86YR6
YP_010097093.1	O00300	gp_1	0.0	O00300
YP_009703137.1	P13688	gp_1	0.0	P13688
AAD21353.1	P28907	gp_1	0.0	P28907
YP_004123757.1	O15484	gp_1	0.0	O15484
YP_010113273.1	O95393	gp_1	0.0	O95393
YP_009030025.1	P15173	gp_1	0.0	P15173
YP_009551990.1	O95340	gp_1	0.0	O95340
AEV54979.1	P19544	gp_1	0.0	P19544
CAP08115.1	Q8WW27	gp_1	0.0	Q8WW27
YP_004346948.1	P26436	gp_1	0.0	P26436
YP_182400.1	Q8N895	gp_1	0.0	Q8N895
NP_058428.1	Q8N1A6	gp_1	0.0	Q8N1A6
YP_214077.1	Q8IV63	gp_1	0.0	Q8IV63
YP_068266.1	Q9HCN3	gp_1	0.0	Q9HCN3
YP_009344950.1	Q5JTY5	gp_1	0.0	Q5JTY5
AFD21933.1	P49770	gp_1	0.0	P49770
ACA24943.1	Q16890	gp_1	0.0	Q16890
YP_010097674.1	P23276	gp_1	0.0	P23276
YP_009344912.1	P58166	gp_1	0.0	P58166
YP_010113332.1	Q9NRV9	gp_1	0.0	Q9NRV9
YP_010113401.1	Q6ZMY9	gp_1	0.0	P51786
CAP08161.1	O00160	gp_1	0.0	O00160
YP_214037.1	Q15761	gp_1	0.0	Q15761
AFD21999.1	P52952	gp_1	0.0	P52952
YP_009553675.1	P02741	gp_1	0.0	P02743
NP_570767.1	Q9UBM8	gp_1	0.0	Q9UBM8
YP_005296370.1	Q8TE85	gp_1	0.0	Q6ISB3
NP_570231.1	Q9BZW7	gp_1	0.0	Q9BZW7
YP_068353.1	Q8TBF4	gp_1	0.0	Q8TBF4
AAD21404.1	P98073	gp_1	0.0	P98073
NP_570237.1	A6NHZ5	gp_1	0.0	A6NHZ5
NP_015532.1	O75165	gp_1	0.0	O75165
YP_214035.1	Q8N653	gp_1	0.0	Q8N653
YP_001034008.1	P49590	gp_1	0.0	P49590
AAT95219.1	O00193	gp_1	0.0	O00193
YP_009703068.1	Q8TE82	gp_1	0.0	Q8TE82
AEP82753.1	Q8TE77	gp_1	0.0	Q8TE77
YP_214135.1	Q8WTS6	gp_1	0.0	Q8WTS6
YP_010097098.1	P0C7M4	gp_1	0.0	P0C7M4
YP_008720072.1	O75600	gp_1	0.0	O75600
BAA82892.1	Q8TCD1	gp_1	0.0	Q8TCD1
YP_009054987.1	Q9Y4E5	gp_1	0.0	Q9Y4E5
YP_009667151.1	Q9H790	gp_1	0.0	Q9H790
AAD21345.1	P32320	gp_1	0.0	P32320
CAP08163.1	Q9BZJ8	gp_1	0.0	Q9BZJ8
NP_570786.1	Q96FV0	gp_1	0.0	Q96FV0
AP_000255.1	A7E2V4	gp_1	0.0	A7E2V4
YP_010113372.1	Q70JA7	gp_1	0.0	Q86X52
YP_008145322.1	Q8N0X2	gp_1	0.0	Q8N0X2
YP_009552120.1	Q9NXL6	gp_1	0.0	Q9NXL6
YP_009109585.1	Q9NP59	gp_1	0.0	Q9NP59
NP_570813.1	P25098	gp_1	0.0	P35626
YP_004346910.1	P22888	gp_1	0.0	P23945
YP_009252287.1	Q9NRH3	gp_1	0.0	Q9NRH3
YP_182398.1	Q8N5Y2	gp_1	0.0	Q8N5Y2
YP_009344880.1	P56693	gp_1	0.0	P56693
YP_009252260.1	Q8N755	gp_1	0.0	Q8N755
YP_001034004.1	O60260	gp_1	0.0	O60260
YP_004123758.1	A6NK89	gp_1	0.0	A6NK89
AEV55028.1	P25103	gp_1	0.0	P25103
YP_214124.1	Q9H974	gp_1	0.0	Q9H974
YP_173325.1	Q06265	gp_1	0.0	Q06265
YP_068377.2	Q6UXI7	gp_1	0.0	Q6UXI7
CAP08153.1	Q9P243	gp_1	0.0	Q9P243
AFD22083.1	P35913	gp_1	0.0	P35913
YP_009508803.1	Q96A56	gp_1	0.0	Q96A56
YP_004956723.1	O00300	gp_1	0.0	O00300
YP_001033929.1	Q9UK53	gp_1	0.0	Q9UK53
YP_005296349.1	Q499Z4	gp_1	0.0	Q499Z4
YP_009508840.1	Q15526	gp_1	0.0	Q15526
ACN89732.1	Q6T311	gp_1	0.0	Q6T311
YP_010086828.1	Q7Z5L9	gp_1	0.0	Q7Z5L9
YP_001331031.1	P55259	gp_1	0.0	P55259
YP_182388.1	Q8TCD1	gp_1	0.0	Q8TCD1
NP_570818.1	Q8IWP9	gp_1	0.0	Q8IWP9
CAP08210.1	P42357	gp_1	0.0	P42357
YP_008492983.1	Q86UX6	gp_1	0.0	Q8WU08
YP_009337824.1	Q4UJ75	gp_1	0.0	Q5SQ80
NP_066853.2	Q9GZV3	gp_1	0.0	Q9GZV3
ABG89314.1	P04279	gp_1	0.0	P04279
YP_009199247.1	P49715	gp_1	0.0	P49715
CAP08097.1	Q9NPH0	gp_1	0.0	Q9NPH0
YP_008493004.1	Q8WVV4	gp_1	0.0	Q8WVV4
YP_001034014.1	Q9BZY9	gp_1	0.0	Q9BZY9
YP_214047.1	P22466	gp_1	0.0	P22466
YP_005296224.1	Q8TDZ2	gp_1	0.0	Q8TDZ2
YP_009054993.1	Q6UVJ0	gp_1	0.0	Q6UVJ0
YP_009703183.1	Q9P243	gp_1	0.0	Q9P243
NP_570753.1	Q96AC6	gp_1	0.0	Q96AC6
YP_009380532.1	P11172	gp_1	0.0	P11172
AEV55026.1	Q16549	gp_1	0.0	Q16549
YP_010097698.1	Q8N100	gp_1	0.0	Q8N100
YP_009703092.1	Q6P1M9	gp_1	0.0	Q6P1M9
YP_010113317.1	Q9NTJ4	gp_1	0.0	Q9NTJ4
YP_214051.1	Q16204	gp_1	0.0	Q16204
YP_009109620.1	Q96M94	gp_1	0.0	Q96M94
YP_010097683.1	Q6S545	gp_1	0.0	Q86YR6
YP_009505573.1	P48436	gp_1	0.0	P56693
YP_005296204.1	Q9Y2Y6	gp_1	0.0	Q9Y2Y6
YP_004021924.1	P03952	gp_1	0.0	P03951
YP_182337.1	Q9NS18	gp_1	0.0	Q9NS18
YP_214079.1	Q96NL6	gp_1	0.0	Q96NL6
YP_010097068.1	Q13536	gp_1	0.0	Q13536
YP_004346951.1	O60721	gp_1	0.0	O60721
YP_214116.1	Q9BRU9	gp_1	0.0	Q9BRU9
YP_068326.1	Q8TD16	gp_1	0.0	Q8TD16
YP_008493003.1	O95625	gp_1	0.0	O95625
YP_008492955.1	Q8N653	gp_1	0.0	Q8N653
YP_008493019.1	Q5SVZ6	gp_1	0.0	Q5SVZ6
YP_003896047.1	Q9NYQ3	gp_1	0.0	Q9NYQ3
NP_066907.1	Q6XE38	gp_1	0.0	Q6XE38
ACN89695.1	Q99747	gp_1	0.0	Q99747
YP_009703066.1	P03979	gp_1	0.0	P03979
AER30023.1	P02724	gp_1	0.0	P02724
ACU27446.1	Q86YR6	gp_1	0.0	Q86YR6
NP_066891.2	Q9BQY4	gp_1	0.0	P0C7M4
YP_214086.1	P37275	gp_1	0.0	P37275
YP_009506306.1	Q5U3C3	gp_1	0.0	Q5U3C3
YP_009505552.1	P30046	gp_1	0.0	P30046
AEP04094.1	Q9Y228	gp_1	0.0	Q9Y228
AEV55001.1	P50238	gp_1	0.0	P50238
CAP08114.1	Q15761	gp_1	0.0	Q15761
YP_009344919.1	Q9UKN5	gp_1	0.0	Q9UKN5
YP_007974228.1	Q5T0T0	gp_1	0.0	Q8TCQ1
YP_009344953.1	Q9Y6K8	gp_1	0.0	Q9Y6K8
AP_000360.1	A8MWY0	gp_1	0.0	A8MWY0
YP_005296331.1	Q9H9F9	gp_1	0.0	Q9H9F9
AP_000075.1	Q6P3S6	gp_1	0.0	Q6P3S6
NP_040834.1	Q86TD4	gp_1	0.0	Q86TD4
YP_005296192.1	Q6P1M9	gp_1	0.0	Q6P1M9
YP_008492988.1	Q9BUT9	gp_1	0.0	Q9BUT9
YP_009408607.1	Q96JK2	gp_1	0.0	Q96JK2
AFD97609.1	Q8N0S2	gp_1	0.0	Q8N0S2
YP_005296201.1	Q8N653	gp_1	0.0	Q8N653
YP_009344956.1	O95393	gp_1	0.0	O95393
AAD21372.1	Q9P0P0	gp_1	0.0	Q9P0P0
YP_182354.1	P49642	gp_1	0.0	P49642
ACN89715.1	Q96JM4	gp_1	0.0	Q96JM4
YP_010113388.1	Q9H6K4	gp_1	0.0	Q9H6K4
YP_214033.1	P47898	gp_1	0.0	P47898
YP_068112.1	P28907	gp_1	0.0	P28907
YP_009679042.1	P09848	gp_1	0.0	P09848
YP_009703204.1	O60635	gp_1	0.0	O60635
NP_066879.1	A8MWY0	gp_1	0.0	A8MWY0
YP_009252346.1	Q9Y3E7	gp_1	0.0	Q9Y3E7
CAP08068.1	Q6PJ21	gp_1	0.0	Q6PJ21
YP_009196.1	A3KN83	gp_1	0.0	A3KN83
YP_008493015.1	Q9Y6K8	gp_1	0.0	Q9Y6K8
YP_009703139.1	Q562E7	gp_1	0.0	Q562E7
YP_004346934.1	Q8IUF1	gp_1	0.0	Q5JTY5
YP_008492978.1	Q9H4I3	gp_1	0.0	Q9H4I3
YP_068156.1	Q9UBK9	gp_1	0.0	Q9UBK9
CAP08086.1	P39210	gp_1	0.0	P39210
YP_009344833.1	Q6ZU80	gp_1	0.0	Q6ZU80
YP_010097701.1	Q6ZU67	gp_1	0.0	Q6ZU67
NP_066889.1	P52952	gp_1	0.0	P52952
YP_007974230.1	O95926	gp_1	0.0	O95926
YP_009109623.1	Q567V2	gp_1	0.0	Q567V2
ACA24941.1	Q92959	gp_1	0.0	Q92959
YP_009508838.1	P40238	gp_1	0.0	P40238
YP_008492969.1	Q5TZF3	gp_1	0.0	Q5TZF3
YP_005296199.1	P46695	gp_1	0.0	P46695
YP_173333.1	P48552	gp_1	0.0	P48552
ABG89315.1	Q9Y4F9	gp_1	0.0	Q9Y4F9
YP_009344879.1	Q9NVM9	gp_1	0.0	Q9NVM9
YP_214142.1	Q9UNZ2	gp_1	0.0	Q9UNZ2
YP_009344889.1	Q99811	gp_1	0.0	P54821
YP_009703196.1	A1A4G5	gp_1	0.0	A1A4G5
YP_008145319.1	Q8WTT0	gp_1	0.0	Q6EIG7
YP_068099.1	Q8N488	gp_1	0.0	Q8N488
YP_004956721.1	Q92888	gp_1	0.0	Q92888
YP_010097687.1	Q9NQ92	gp_1	0.0	Q9NQ92
YP_009344947.1	Q13349	gp_1	0.0	P11215
YP_004346916.1	Q6IQ22	gp_1	0.0	Q6IQ22
YP_010113410.1	O00300	gp_1	0.0	O00300
NP_570759.1	P01571	gp_1	0.0	P01571
AGK45267.1	Q86UB9	gp_1	0.0	Q86UB9
YP_009703114.1	P13349	gp_1	0.0	P15173
YP_009337632.1	Q8IYM0	gp_1	0.0	Q8IYM0
YP_010113311.1	O75600	gp_1	0.0	O75600
YP_009344877.1	Q5TZF3	gp_1	0.0	Q5TZF3
AFD21967.1	Q00532	gp_1	0.0	Q00532
YP_009703151.1	P43652	gp_1	0.0	P43652
YP_009140482.1	Q9Y238	gp_1	0.0	Q9Y238
YP_068263.1	Q9UBC3	gp_1	0.0	Q9UBC3
YP_007974227.1	Q16610	gp_1	0.0	Q16610
YP_009252276.1	Q7Z6L1	gp_1	0.0	Q7Z6L1
CAP08111.1	P19883	gp_1	0.0	P19883
CAP08089.1	O76090	gp_1	0.0	O76090
YP_009344848.1	Q9NXL6	gp_1	0.0	Q9NXL6
YP_068174.1	Q9Y5U8	gp_1	0.0	Q9Y5U8
AP_000361.1	Q8N309	gp_1	0.0	Q8N309
NP_015549.1	Q9HCU8	gp_1	0.0	Q9HCU8
YP_214098.1	Q60I27	gp_1	0.0	Q60I27
YP_009054985.1	Q8IXZ2	gp_1	0.0	Q8IXZ2
YP_010113292.1	P05014	gp_1	0.0	P01571
YP_068255.1	Q9HCU8	gp_1	0.0	Q9HCU8
YP_005296216.1	Q5VUR7	gp_1	0.0	Q5SQ80
NP_047410.1	Q86TD4	gp_1	0.0	Q86TD4
YP_214070.1	P41586	gp_1	0.0	P32241
YP_008136241.1	P47898	gp_1	0.0	P47898
YP_009252366.1	Q9Y238	gp_1	0.0	Q9Y238
YP_214074.1	Q7Z6M1	gp_1	0.0	Q7Z6M1
YP_005296341.1	Q8TC17	gp_1	0.0	Q8TC17
CAP08070.1	Q13536	gp_1	0.0	Q13536
YP_214054.1	O15539	gp_1	0.0	O15539
AGK45268.1	Q86VR8	gp_1	0.0	Q86VR8
YP_008720075.1	Q8WZA0	gp_1	0.0	Q8WZA0
YP_009380530.1	P17568	gp_1	0.0	P17568
YP_214126.1	Q96KR4	gp_1	0.0	Q96KR4
YP_009337833.1	Q16610	gp_1	0.0	Q16610
YP_068264.1	Q9Y5R4	gp_1	0.0	Q9Y5R4
YP_009199245.1	O43915	gp_1	0.0	O43915
YP_068247.1	Q15274	gp_1	0.0	Q15274
YP_009337631.1	Q8NB12	gp_1	0.0	Q8NB12
BAA82897.1	Q86WC4	gp_1	0.0	Q86WC4
YP_182410.1	Q99732	gp_1	0.0	Q99732
AEV54977.1	Q9BU02	gp_1	0.0	Q9BU02
YP_214078.1	P19883	gp_1	0.0	P19883
YP_010113383.1	Q86WC4	gp_1	0.0	Q86WC4
NP_015553.1	Q9NTJ4	gp_1	0.0	Q9NTJ4
YP_010113382.1	Q00532	gp_1	0.0	Q00532
CAP08116.1	Q9Y4F9	gp_1	0.0	Q9Y4F9
CAP08093.1	P23759	gp_1	0.0	P23760
NP_570252.1	Q9NXL6	gp_1	0.0	Q9NXL6
AIK28876.1	Q8TER0	gp_1	0.0	Q8TER0
YP_009130649.1	Q8WVN6	gp_1	0.0	Q8WVN6
YP_010113397.1	Q8WZA0	gp_1	0.0	Q8WZA0
YP_009344916.1	Q12888	gp_1	0.0	Q12888
AP_000358.1	P09211	gp_1	0.0	P09211
NP_066847.1	Q6S545	gp_1	0.0	Q86YR6
AFD22129.1	Q96JM4	gp_1	0.0	Q96JM4
YP_008492954.1	O43715	gp_1	0.0	O43715
YP_010113286.1	O15360	gp_1	0.0	O15360
AFD22032.1	Q96P71	gp_1	0.0	Q96P71
AEV55061.1	Q5JTW2	gp_1	0.0	Q5JTW2
AAD21407.1	Q99608	gp_1	0.0	Q99608
YP_001033945.1	Q13887	gp_1	0.0	Q13887
NP_598361.1	Q86TD4	gp_1	0.0	Q86TD4
YP_009221.1	P25311	gp_1	0.0	P25311
CAP08203.1	P07359	gp_1	0.0	P07359
AAW02841.1	Q86WC4	gp_1	0.0	Q86WC4
YP_010113288.1	Q7Z6L1	gp_1	0.0	Q7Z6L1
YP_009344860.1	P01571	gp_1	0.0	P01571
NP_570186.1	Q8NCW0	gp_1	0.0	Q8NCW0
AAD21399.1	O43474	gp_1	0.0	O43474
BAA82911.1	Q9Y450	gp_1	0.0	Q9Y450
YP_214125.1	Q9P243	gp_1	0.0	Q9P243
AEV54996.1	Q8TE82	gp_1	0.0	Q8TE82
YP_005296335.1	O15354	gp_1	0.0	O15354
YP_214170.1	Q96DD0	gp_1	0.0	Q96DD0
YP_068294.1	P83859	gp_1	0.0	P83859
AEV55085.1	Q8N895	gp_1	0.0	Q8N895
YP_009010980.1	P41225	gp_1	0.0	P41225
NP_058426.1	Q9NRH3	gp_1	0.0	Q9NRH3
YP_010113255.1	Q8TC84	gp_1	0.0	Q8TC84
YP_009703071.1	Q9BZW7	gp_1	0.0	Q9BZW7
NP_694828.1	P30968	gp_1	0.0	P30968
YP_068171.1	O95424	gp_1	0.0	O95424
YP_005296220.1	Q6PJ21	gp_1	0.0	Q6PJ21
YP_068181.1	P15814	gp_1	0.0	P15814
AFD21870.1	Q9ULL8	gp_1	0.0	Q9ULL8
YP_214061.1	Q9H501	gp_1	0.0	Q9H501
AAW02833.1	P43652	gp_1	0.0	P43652
BAA82953.1	Q6PCB0	gp_1	0.0	Q6PCB0
YP_009703197.1	O60337	gp_1	0.0	O60337
YP_010097676.1	Q9NS91	gp_1	0.0	Q9NS91
YP_009344898.1	Q8N488	gp_1	0.0	Q8N488
YP_001033926.1	P08684	gp_1	0.0	P20815
YP_008492974.1	Q6ZVM7	gp_1	0.0	O60784
YP_009513243.1	H3BUK9	gp_1	0.0	Q86YR6
YP_009214.1	Q9H9T3	gp_1	0.0	Q9H9T3
YP_068283.1	Q8TER0	gp_1	0.0	Q8TER0
YP_068098.1	Q9Y4E5	gp_1	0.0	Q9Y4E5
YP_010097122.1	Q07092	gp_1	0.0	Q07092
YP_068323.1	Q6ZNQ3	gp_1	0.0	Q6ZNQ3
YP_068202.1	Q8NFZ5	gp_1	0.0	Q8NFZ5
NP_694829.3	Q16584	gp_1	0.0	Q16584
YP_010097078.1	Q92636	gp_1	0.0	Q92636
YP_010097637.1	P09211	gp_1	0.0	P09211
YP_214111.1	Q9Y2V3	gp_1	0.0	Q9Y2V3
YP_068349.1	O95965	gp_1	0.0	O95965
YP_001033985.1	Q6T311	gp_1	0.0	Q6T311
YP_003587900.1	O95149	gp_1	0.0	O95149
YP_001033986.1	Q6XZF7	gp_1	0.0	Q6XZF7
YP_003896048.1	Q86UX6	gp_1	0.0	Q8WU08
ACN89734.1	P22897	gp_1	0.0	P22897
YP_010097110.1	Q5VUB5	gp_1	0.0	Q5VUB5
CAP08181.1	Q08ET2	gp_1	0.0	Q08ET2
CAP08080.1	P29475	gp_1	0.0	P29475
YP_005296361.1	Q7Z4Q2	gp_1	0.0	Q7Z4Q2
YP_009344925.1	Q92766	gp_1	0.0	Q92766
YP_005296328.1	Q8WVM0	gp_1	0.0	Q8WVM0
ACN89764.1	Q9NR20	gp_1	0.0	Q9NR20
ADE18856.1	O95169	gp_1	0.0	O95169
YP_009344868.1	A0A0B4J2D5	gp_1	0.0	A0A0B4J2D5
YP_009252372.1	P30939	gp_1	0.0	P28221
YP_010113344.1	A8MZ36	gp_1	0.0	A8MZ36
YP_009021877.1	Q96JP5	gp_1	0.0	Q96JP5
AFD22064.1	Q9BRT8	gp_1	0.0	Q5JTY5
YP_005296278.1	Q96K30	gp_1	0.0	Q96K30
YP_004346932.1	Q6T4R5	gp_1	0.0	Q6T4R5
YP_010113301.1	Q9HCN3	gp_1	0.0	Q9HCN3
AAT70775.1	P19544	gp_1	0.0	P19544
YP_009054991.1	P01566	gp_1	0.0	P01571
YP_009508867.1	Q9BRQ6	gp_1	0.0	Q9BRQ6
AFD21902.1	Q6T311	gp_1	0.0	Q6T311
YP_010113362.1	O60337	gp_1	0.0	O60337
YP_001034005.1	P80192	gp_1	0.0	Q16584
AFD22097.1	P49638	gp_1	0.0	P49638
CAP08136.1	Q8IZ08	gp_1	0.0	Q8IZ08
NP_570300.1	P32881	gp_1	0.0	P01571
YP_009130672.1	Q9Y597	gp_1	0.0	Q9Y597
YP_068351.1	P28221	gp_1	0.0	P28221
YP_009054989.1	Q5VTH9	gp_1	0.0	Q5VTH9
YP_009344847.1	Q9BTK6	gp_1	0.0	Q9BTK6
YP_003778196.1	Q9NZ56	gp_1	0.0	Q9NZ56
BAA82894.1	Q9UBD0	gp_1	0.0	Q9UBD0
NP_066833.1	Q13490	gp_1	0.0	Q13489
YP_005296363.1	Q02535	gp_1	0.0	Q02535
AEV55038.1	P21506	gp_1	0.0	P51786
YP_338082.1	O60635	gp_1	0.0	O60635
YP_009448206.1	P35790	gp_1	0.0	P35790
NP_066910.1	P47901	gp_1	0.0	P30559
NP_777374.1	P55789	gp_1	0.0	P55789
YP_009703063.1	P17735	gp_1	0.0	P17735
YP_009252250.1	Q8TER0	gp_1	0.0	Q8TER0
AP_000638.1	Q8NBU5	gp_1	0.0	Q8NBU5
YP_010097647.1	Q24JP5	gp_1	0.0	Q24JP5
YP_008145315.1	O43488	gp_1	0.0	O95154
CAP08084.1	Q8NDF8	gp_1	0.0	Q8NDF8
YP_009109615.1	H3BUK9	gp_1	0.0	Q86YR6
YP_182402.1	Q9BU02	gp_1	0.0	Q9BU02
YP_009505576.1	O15360	gp_1	0.0	O15360
YP_001033950.1	Q96GJ1	gp_1	0.0	Q96GJ1
YP_068259.1	Q9BUV8	gp_1	0.0	Q9BUV8
YP_182352.1	P20774	gp_1	0.0	P20774
YP_182396.2	Q56NI9	gp_1	0.0	Q56NI9
NP_015555.1	Q9BZJ8	gp_1	0.0	Q9BZJ8
AFD22019.1	Q9UBK5	gp_1	0.0	Q9UBK5
YP_010113363.1	O43474	gp_1	0.0	O43474
YP_009252262.1	Q5HYI7	gp_1	0.0	Q5HYI7
YP_214132.1	Q9Y6I4	gp_1	0.0	Q9Y6I4
YP_004346942.1	P46695	gp_1	0.0	P46695
NP_570198.1	Q9Y2P8	gp_1	0.0	Q9Y2P8
CAP08171.1	Q86VY9	gp_1	0.0	Q86VY9
NP_570162.1	Q8NC01	gp_1	0.0	Q8NC01
NP_570752.1	Q7Z6M1	gp_1	0.0	Q7Z6M1
YP_214059.1	Q99972	gp_1	0.0	Q99972
YP_010113268.1	A0A0B4J2D5	gp_1	0.0	A0A0B4J2D5
YP_009703182.1	Q9P0P0	gp_1	0.0	Q9P0P0
YP_182370.1	O95340	gp_1	0.0	O95340
NP_570287.1	Q8N2H3	gp_1	0.0	Q8N2H3
YP_010097628.1	Q6ZNQ3	gp_1	0.0	Q6ZNQ3
AFD21954.1	Q9BRN9	gp_1	0.0	Q9BRN9
YP_009508837.1	Q96RU8	gp_1	0.0	Q92519
NP_066828.1	Q9Y4E5	gp_1	0.0	Q9Y4E5
AEV55017.1	Q9H4I3	gp_1	0.0	Q9H4I3
YP_009130677.1	Q567V2	gp_1	0.0	Q567V2
YP_182384.1	Q8IYN2	gp_1	0.0	Q8IYN2
YP_214050.1	P46695	gp_1	0.0	P46695
YP_068345.1	P21506	gp_1	0.0	P51786
YP_010097108.1	Q8TAW3	gp_1	0.0	P51786
YP_008493006.1	Q8NB12	gp_1	0.0	Q8NB12
YP_008492991.1	Q70HW3	gp_1	0.0	Q70HW3
YP_005296322.1	P49746	gp_1	0.0	P49746
CAP08162.1	Q96M02	gp_1	0.0	Q96M02
YP_009825001.1	P13224	gp_1	0.0	P13224
YP_068298.1	Q9UK39	gp_1	0.0	Q9UK39
YP_009337832.1	Q96JM4	gp_1	0.0	Q96JM4
YP_008145318.1	Q8IXZ3	gp_1	0.0	Q8TDD2
YP_009130676.1	Q86XN8	gp_1	0.0	Q86XN8
YP_009703216.1	Q969M2	gp_1	0.0	Q969M2
YP_009703126.1	P49901	gp_1	0.0	P49901
NP_570309.1	Q9BU76	gp_1	0.0	Q9BU76
YP_068321.1	P45954	gp_1	0.0	P16219
AAD21338.1	P01732	gp_1	0.0	P01732
YP_009252348.1	Q92765	gp_1	0.0	Q92765
YP_068277.1	Q6DN90	gp_1	0.0	Q6DN90
NP_108653.1	Q9BZJ6	gp_1	0.0	Q9Y5Y3
YP_005296245.1	O95393	gp_1	0.0	O95393
YP_182408.1	Q13490	gp_1	0.0	Q13489
YP_004152334.1	Q13490	gp_1	0.0	Q13489
YP_009703165.1	Q6P3S6	gp_1	0.0	Q6P3S6
BAA82943.1	Q9H9F9	gp_1	0.0	Q9H9F9
YP_009252349.1	P39880	gp_1	0.0	P39880
